suburb,number_of_houses,number_of_units,municipality,population,aus_born_perc,median_income,median_house_price
FOOTSCRAY,5286 , 6864,Maribyrnong,16926,49%,"$1,181","$869,400"
DOVETON,3150 , 953,Casey,9801,59%,$819,"$602,200"
NORTHCOTE,8461 , 5349,Darebin,21000,69%,"$1,563","$1,630,800"
FAWKNER,4754 , 1266,Moreland,12899,53%,$865,"$745,500"
BENTLEIGH,5799 , 3228,Glen Eira,17630,72%,"$1,538","$1,649,200"
MALVERN,3622 , 3241,Stonnington,10201,78%,"$2,047","$2,337,300"
HAMPTON,4651 , 2612,Bayside,11231,78%,"$1,653","$2,032,200"
CHADSTONE,3244 , 1608,Monash,12357,65%,"$1,234","$1,217,700"
WANTIRNA,4861 , 1165,Knox,31889,70%,"$1,463","$1,071,300"
BALWYN,4589 , 2796,Boroondara,13849,71%,"$1,563","$2,551,100"
HEATHMONT,3459 , 1027,Maroondah,16322,80%,"$1,297","$1,083,000"
EPPING,13368 , 3047,Whittlesea,19624,73%,"$1,283","$673,200"
BLACKBURN,4821 , 2501,Whitehorse,27564,75%,"$1,387","$1,485,900"
GREENSBOROUGH,7426 , 2533,Banyule,26045,83%,"$1,524","$984,000"
ELTHAM,6040 , 1782,Nillumbik,28827,85%,"$1,923","$1,178,700"
KEYSBOROUGH,9761 , 1578,Greater Dandenong,16492,49%,"$1,253","$1,006,400"
MORDIALLOC,2949 , 2322,Kingston,24045,76%,"$1,492","$1,228,700"
STRATHMORE,3101 , 749,Moonee Valley,10591,81%,"$1,634","$1,643,800"
RINGWOOD,6350 , 4648,Maroondah,28808,79%,"$1,393","$1,024,000"
CANTERBURY,2781 , 1325,Boroondara,7418,80%,"$2,352","$2,875,800"
JACANA,860 , 147,Hume,18510,58%,$762,"$577,100"
PARKVILLE,1058 , 2943,Melbourne,6692,71%,"$1,480","$1,849,500"
WATSONIA,2191 , 614,Banyule,8932,82%,"$1,300","$879,500"
BURNSIDE,1290 , 343,Melton,14107,57%,"$1,423","$788,300"
THORNBURY,6018 , 4275,Darebin,16671,63%,"$1,275","$1,361,700"
RESERVOIR,16913 , 8713,Darebin,45591,63%,$972,"$861,800"
MONTMORENCY,3368 , 1434,Banyule,8154,87%,"$1,457","$1,111,000"
CROYDON,9705 , 5573,Maroondah,37491,81%,"$1,267","$902,900"
GREENVALE,6480 , 251,Hume,9120,72%,"$1,730","$942,100"
FAIRFIELD,2113 , 1694,Darebin,9227,73%,"$1,538","$1,615,300"
ESSENDON,6869 , 5592,Moonee Valley,22442,81%,"$1,571","$1,550,000"
PRESTON,11418 , 7672,Darebin,27067,63%,"$1,155","$1,075,700"
BROADMEADOWS,4395 , 1983,Hume,18510,58%,$762,"$565,700"
TOORAK,4088 , 5974,Stonnington,12797,72%,"$1,977","$2,752,300"
TRUGANINA,12111 , 961,Wyndham,39324,74%,"$1,402","$680,500"
KINGSBURY,1234 , 479,Darebin,24119,69%,"$1,172","$813,800"
SEABROOK,1452 , 264,Hobsons Bay,29313,67%,"$1,221","$739,400"
FITZROY,3147 , 5530,Yarra,9007,63%,"$1,483","$1,568,000"
YARRAVILLE,5855 , 2072,Maribyrnong,11645,67%,"$1,583","$1,148,100"
LILYDALE,5989 , 2379,Yarra Ranges,13615,82%,"$1,284","$908,900"
NUNAWADING,4033 , 2270,Whitehorse,20796,70%,"$1,202","$1,171,100"
HAWTHORN,5753 , 11459,Boroondara,19166,72%,"$1,627","$2,103,800"
MOOROOLBARK,7655 , 1413,Yarra Ranges,18998,80%,"$1,360","$874,500"
PLENTY,703 , 79,Nillumbik,1529,83%,"$2,215","$1,668,900"
CAMBERWELL,7459 , 4358,Boroondara,15537,77%,"$2,122","$2,235,400"
SEDDON,2035 , 844,Maribyrnong,16926,49%,"$1,181","$1,148,600"
ALBANVALE,1897 , 138,Brimbank,54005,46%,$907,"$594,200"
HALLAM,3494 , 1290,Casey,9061,56%,"$1,156","$724,000"
BURWOOD,5052 , 3288,Whitehorse,18501,73%,"$1,100","$1,296,800"
PRAHRAN,4230 , 8324,Stonnington,17776,66%,"$1,560","$1,706,800"
WINDSOR,2201 , 4448,Stonnington,17776,66%,"$1,560","$1,629,600"
ABERFELDIE,1410 , 453,Moonee Valley,22442,81%,"$1,571","$1,926,600"
GLENROY,7882 , 4021Houses,Moreland,27707,66%,"$1,004","$743,900"
KNOXFIELD,2723 , 1042,Knox,6617,76%,"$1,310","$909,600"
COBURG,10323 , 4557,Moreland,29021,63%,"$1,268","$1,129,500"
ALBION,1389 , 1392,Brimbank,30677,52%,$929,"$739,100"
BEAUMARIS,5041 , 1732,Bayside,17536,79%,"$1,845","$1,882,800"
SUNSHINE,4031 , 1779,Brimbank,30677,52%,$929,"$883,700"
EAGLEMONT,1441 , 442,Banyule,21826,77%,"$1,551","$2,047,000"
BRAYBROOK,2822 , 1654,Maribyrnong,6573,52%,$792,"$755,400"
ASPENDALE,2432 , 1048,Kingston,24045,76%,"$1,492","$1,424,900"
CARNEGIE,4596 , 5791,Glen Eira,30031,64%,"$1,287","$1,406,500"
MCKINNON,1953 , 1107,Glen Eira,17630,72%,"$1,538","$1,683,800"
KINGSVILLE,1266 , 832,Maribyrnong,19978,56%,"$1,162","$1,091,300"
DONCASTER,7598 , 4243,Manningham,17447,58%,"$1,242","$1,446,200"
BUNDOORA,8943 , 3243,Whittlesea,24119,69%,"$1,172","$876,900"
ASHWOOD,2378 , 1176,Monash,12420,73%,"$1,469","$1,436,500"
SYDENHAM,2811 , 1400,Brimbank,27356,64%,"$1,491","$658,000"
PARKDALE,4160 , 2433,Kingston,24045,76%,"$1,492","$1,341,800"
MOORABBIN,2571 , 1673,Kingston,13081,69%,"$1,294","$1,283,800"
BORONIA,8285 , 4281,Knox,20314,79%,"$1,162","$832,500"
RICHMOND,8875 , 13869,Yarra,24112,65%,"$1,731","$1,389,100"
SPRINGVALE,6280 , 4315,Greater Dandenong,18147,36%,$884,"$895,800"
WARRANWOOD,1338 , 178,Maroondah,28808,79%,"$1,393","$1,309,600"
ROSANNA,3073 , 1156,Banyule,21826,77%,"$1,551","$1,192,000"
ARMADALE,2838 , 3841,Stonnington,8428,73%,"$1,713","$1,925,900"
LAVERTON,2370 , 488,Hobsons Bay,29313,67%,"$1,221","$603,500"
ALPHINGTON,1729 , 1099,Darebin,9227,73%,"$1,538","$1,729,600"
LALOR,8358 , 1216,Whittlesea,20717,52%,$919,"$678,600"
BULLEEN,4269 , 979,Manningham,10590,58%,"$1,225","$1,322,600"
WERRIBEE,14482 , 4489,Wyndham,36356,77%,"$1,470","$634,600"
KEILOR,2226 , 442,Brimbank,6503,76%,"$1,541","$1,047,100"
BRUNSWICK,8835 , 8041,Moreland,20155,62%,"$1,433","$1,265,800"
OAKLEIGH,3155 , 1636,Monash,16280,65%,"$1,340","$1,301,400"
HIGHETT,3939 , 2524,Bayside,9299,73%,"$1,384","$1,355,400"
CARRUM,1725 , 1350,Kingston,12098,76%,"$1,305","$1,047,100"
VERMONT,3636 , 1030,Whitehorse,20802,71%,"$1,459","$1,186,300"
DALLAS,2207 , 315,Hume,18510,58%,$762,"$514,300"
ELSTERNWICK,3005 , 3427,Glen Eira,10824,69%,"$1,497","$1,859,300"
ST HELENA,800 , 170,Banyule,26045,83%,"$1,524","$1,163,300"
CLARINDA,2271 , 640,Kingston,19027,44%,"$1,116","$1,012,900"
BAYSWATER,4737 , 3089,Knox,19945,77%,"$1,186","$865,500"
KILSYTH,4209 , 1613,Yarra Ranges,12665,82%,"$1,211","$813,100"
ALTONA,4843 , 2394,Hobsons Bay,11742,70%,"$1,160","$1,139,500"
ST ALBANS,12373 , 4513,Brimbank,54005,46%,$907,"$697,000"
SANDRINGHAM,3340 , 2563,Bayside,8146,79%,"$1,836","$1,785,000"
ELWOOD,3628 , 8403,Port Phillip,12829,72%,"$1,715","$1,874,000"
DELAHEY,2193 , 541,Brimbank,27356,64%,"$1,491","$648,400"
MITCHAM,5802 , 3089,Whitehorse,14482,76%,"$1,424","$1,128,700"
TEMPLESTOWE,5734 , 1487,Manningham,16180,64%,"$1,789","$1,759,800"
HEIDELBERG,2066 , 1742,Banyule,21826,77%,"$1,551","$1,213,100"
MENTONE,4507 , 3922,Kingston,14158,76%,"$1,288","$1,332,300"
HILLSIDE,4717 , 798,Melton,27356,64%,"$1,491","$867,300"
BRUNSWICK WEST,4431 , 4309,Moreland,11882,65%,"$1,232","$1,108,300"
VIEWBANK,2434 , 356,Banyule,21826,77%,"$1,551","$1,147,300"
CAULFIELD,1723 , 1630,Glen Eira,15277,61%,"$1,547","$1,704,100"
ORMOND,2378 , 2357,Glen Eira,17630,72%,"$1,538","$1,746,300"
COLLINGWOOD,2122 , 4470,Yarra,5113,60%,"$1,278","$1,275,000"
ARDEER,1263 , 335,Brimbank,10176,46%,$895,"$663,400"
CLAYTON,5171 , 5343,Monash,18901,48%,$962,"$1,017,200"
ABBOTSFORD,2304 , 4706,Yarra,4025,68%,"$1,797","$1,299,400"
BALACLAVA,1403 , 2485,Port Phillip,17374,63%,"$1,449","$1,462,600"
CAMPBELLFIELD,2830 , 1163,Hume,5480,48%,$786,"$588,600"
NIDDRIE,2198 , 1140,Moonee Valley,13979,69%,"$1,204","$1,148,000"
ELTHAM NORTH,2175 , 118,Nillumbik,28827,85%,"$1,923","$1,227,100"
FLEMINGTON,1877 , 3086,Moonee Valley,14523,62%,"$1,401","$1,069,400"
EUMEMMERRING,610 , 489,Casey,9801,59%,$819,"$668,900"
DONVALE,4065 , 1346,Manningham,10274,74%,"$1,614","$1,498,500"
NEWPORT,5240 , 1816,Hobsons Bay,14791,74%,"$1,626","$1,197,100"
GOWANBRAE,651 , 337,Moreland,16710,65%,"$1,150","$919,100"
ATTWOOD,824 , 102,Hume,8623,74%,"$1,388","$995,100"
SPOTSWOOD,1274 , 443,Hobsons Bay,14791,74%,"$1,626","$1,144,200"
SEAHOLME,826 , 188,Hobsons Bay,11742,70%,"$1,160","$1,316,200"
COOLAROO,1300 , 237,Hume,18590,57%,$867,"$507,200"
MURRUMBEENA,2947 , 2728,Glen Eira,30031,64%,"$1,287","$1,574,000"
THOMASTOWN,7762 , 2091,Whittlesea,21735,49%,$900,"$691,800"
WESTMEADOWS,2446 , 596,Hume,8623,74%,"$1,388","$684,900"
MACLEOD,3511 , 1718,Banyule,12063,79%,"$1,458","$1,123,400"
CARLTON,2909 , 16139,Melbourne,10673,47%,$633,"$1,480,600"
YALLAMBIE,1286 , 81,Banyule,12063,79%,"$1,458","$998,200"
BROOKLYN,1077 , 551,Hobsons Bay,19978,56%,"$1,162","$701,800"
BONBEACH,2249 , 1613,Kingston,19121,76%,"$1,179","$1,114,700"
COBURG NORTH,3269 , 947,Moreland,29021,63%,"$1,268","$909,700"
BURNSIDE HEIGHTS,1598 , 121,Melton,14107,57%,"$1,423","$808,400"
TRAVANCORE,415 , 1693,Moonee Valley,17187,67%,"$1,512","$1,386,700"
CREMORNE,901 , 1028,Yarra,24112,65%,"$1,731","$1,529,500"
RIPPONLEA,363 , 695,Port Phillip,10824,69%,"$1,497","$1,641,600"
WATSONIA NORTH,1300 , 60,Banyule,8932,82%,"$1,300","$912,000"
BELLFIELD,738 , 119,Banyule,13096,74%,$938,"$994,800"
WILLIAMS LANDING,2735 , 173,Wyndham,170,87%,"$1,842","$861,100"
TULLAMARINE,3164 , 2016,Hume,16710,65%,"$1,150","$706,000"
LYSTERFIELD,1797 , 79,Knox,35341,78%,"$1,392","$1,386,000"
HUNTINGDALE,751 , 342,Monash,16280,65%,"$1,340","$1,192,500"
